ID,Programme,Type,Location,Region,CAPEX,NPV,CAPEX Yr1,CAPEX Yr2,CAPEX Yr3,CAPEX Yr4,Relationship,RelationshipProjID
1,Piping,AssetIntegrity,Facility J,Zone4,5,6,4,1,0,0,Contingent,2
2,Instrumentation,AssetIntegrity,Facility F,Zone1,10,11,1,5,4,0,Contingent,1
3,Mechanical,AssetIntegrity,Facility C,Zone3,10,14,2,4,4,0,Mutually_Exclusive,5
4,Debottlenecking,Growth,Facility D,Zone4,5,7,5,0,0,0,,
5,Piping,AssetIntegrity,Facility C,Zone3,10,12,4,4,2,0,Mutually_Exclusive,3
6,Expansion,Growth,Facility C,Zone3,15,20,7,8,0,0,,
7,Revamp,Growth,Facility F,Zone1,15,16,7,7,1,0,,
8,Piping,AssetIntegrity,Facility D,Zone4,2,5,1,1,0,0,Mandatory,8
9,Revamp,Growth,Facility E,Zone5,3,4,2,1,0,0,Mandatory,9
10,Piping,AssetIntegrity,Facility H,Zone3,7,9,3,3,1,0,,
11,CivilStructural,AssetIntegrity,Facility G,Zone1,4,5,1,1,2,0,,
12,Mechanical,AssetIntegrity,Facility M,Zone5,8,10,1,3,4,0,,
13,Revamp,Growth,Facility E,Zone5,30,45,0,5,10,15,,
14,Electrical,AssetIntegrity,Facility K,Zone2,10,10,5,3,1,1,Mandatory,14
15,Instrumentation,AssetIntegrity,Facility H,Zone3,7,6,3,3,1,0,,
16,Debottlenecking,Growth,Facility K,Zone2,2,5,0,1,1,0,Mandatory,16
17,Instrumentation,AssetIntegrity,Facility F,Zone1,2,2,1,1,0,0,,
18,Instrumentation,AssetIntegrity,Facility J,Zone4,1,2,0,0,1,0,,
19,Revamp,Growth,Facility B,Zone2,15,25,0,9,5,1,Mutually_Exclusive,20
20,Instrumentation,AssetIntegrity,Facility B,Zone2,2,3,1,0,1,0,Mutually_Exclusive,19
21,Mechanical,AssetIntegrity,Facility A,Zone1,3,4,3,0,0,0,,
22,Mechanical,AssetIntegrity,Facility G,Zone1,3,3,0,3,0,0,,
23,Debottlenecking,Growth,Facility D,Zone4,10,15,3,7,0,0,,
24,Mechanical,AssetIntegrity,Facility E,Zone5,8,8,4,3,1,0,,
25,Mechanical,AssetIntegrity,Facility H,Zone3,4,5,1,1,2,0,,
26,Revamp,Growth,Facility K,Zone2,10,18,1,1,6,2,Contingent,29
27,Expansion,Growth,Facility M,Zone5,10,15,0,6,2,2,,
28,Debottlenecking,Growth,Facility A,Zone1,20,40,2,3,5,10,,
29,Piping,AssetIntegrity,Facility K,Zone2,3,5,0,3,0,0,Contingent,26
30,Instrumentation,AssetIntegrity,Facility G,Zone1,2,3,0,0,2,0,,
